symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime
AAVE/USDT,short,171.37,175.08044478380094,26.04510214952288,4364.924902287331,-98.42425307640525,-98.42425307640525,-2.204284175225829,-1.0000000000000038,止损,1,2025-03-12 06:00:00,4465.134495025882,trend,bearish,2025-03-12 07:15:00,range_bound
AAVE/USDT,long,180.19,182.33200611749345,17.17566340246119,3130.435211454166,35.552422964684474,57.914577278795356,1.309387051686579,1.3873169905204408,止损,1,2025-03-22 16:15:00,4423.02963086411,trend,bearish,2025-03-23 05:00:00,trending_up
AAVE/USDT,long,182.03,184.3453135629853,17.092730505416586,3149.720208775064,38.33047487408313,67.46519029695898,1.5172239592267858,1.453507061298966,止损,1,2025-03-23 05:30:00,4446.620413992202,trend,bearish,2025-03-23 09:00:00,trending_up
AAVE/USDT,long,184.0,182.0947193313139,24.306690887989067,4424.331082672018,-48.10004071796987,-48.10004071796987,-1.0750486048439802,-0.9999999999999957,止损,1,2025-03-23 09:15:00,4474.220095839344,trend,bearish,2025-03-23 16:30:00,range_bound
AAVE/USDT,long,181.85,181.85,17.135190632399222,3114.788002735198,-1.2464137666007196,28.622132855484555,0.6427233890606553,0.0,止损,1,2025-03-23 16:45:00,4453.258328954856,trend,bearish,2025-03-24 01:45:00,range_bound
AAVE/USDT,long,191.68,189.58435540469665,23.282299589936635,4412.1746596230105,-50.57652577604385,-50.57652577604385,-1.1328505927049854,-1.0000000000000067,止损,1,2025-03-24 13:15:00,4464.536285873214,trend,neutral,2025-03-24 23:15:00,range_bound
AAVE/USDT,long,189.62,187.9302081289401,23.419255892701027,4399.409330419262,-41.34997195470734,-41.34997195470734,-0.9307741258838176,-1.0000000000000069,止损,1,2025-03-24 23:30:00,4442.535606094919,trend,neutral,2025-03-25 03:00:00,range_bound
AAVE/USDT,short,166.58,166.58,18.584778404449125,3094.6140456584903,-1.2383409546452542,38.214764746364544,0.8637246266099172,0.0,止损,1,2025-03-30 04:15:00,4424.415325096829,trend,bearish,2025-03-30 19:00:00,range_bound
AAVE/USDT,short,162.68,154.4884178560754,19.096185297809292,3261.7527677805265,155.18534353291142,203.02069845020588,4.572817726085883,3.0139485825404098,止损,1,2025-03-31 00:15:00,4439.728644596164,trend,bearish,2025-03-31 10:30:00,range_bound
AAVE/USDT,short,155.47,158.00695898025066,29.08906271549589,4446.869830862843,-75.60674951530319,-75.60674951530319,-1.6711312389244213,-1.0000000000000002,止损,1,2025-03-31 10:45:00,4524.285571010297,trend,bearish,2025-03-31 12:45:00,range_bound
AAVE/USDT,short,152.85,148.17898404386588,20.562468947735365,3237.76380986227,94.79043120091957,136.55157188563308,3.040047421851589,2.086536783895992,止损,1,2025-04-03 09:45:00,4491.757954304021,trend,bearish,2025-04-03 13:30:00,range_bound
AAVE/USDT,short,134.89,136.3912299797168,33.70568104453483,4494.1407135000345,-52.418602597267245,-52.418602597267245,-1.1524680510454366,-0.9999999999999956,止损,1,2025-04-16 04:15:00,4548.377939823741,trend,bearish,2025-04-16 14:30:00,range_bound
