symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime
AVAX/USDT,long,20.0,19.78160774799627,249.7409936848058,4938.280447718163,-56.53942597795284,-56.53942597795284,-1.1315086565560346,-0.9999999999999948,止损,1,2025-04-19 22:15:00,4996.817801645594,trend,bullish,2025-04-20 06:30:00,range_bound
AVAX/USDT,short,21.43,20.68461774315467,162.35016003418647,3598.7851926462854,119.62126311366909,157.29308701952178,3.163436351039286,3.61560504782926,止损,1,2025-04-30 12:15:00,4972.222278720613,trend,bullish,2025-04-30 14:00:00,range_bound
AVAX/USDT,short,20.86,21.347948374872196,241.3932062440894,4915.6606746468115,-119.80160760489312,-119.80160760489312,-2.378206794330191,-0.9999999999999996,止损,1,2025-04-30 14:15:00,5037.476467164605,trend,bullish,2025-05-01 08:30:00,range_bound
AVAX/USDT,short,20.51,20.16656227262309,170.1126160202809,3546.037240918278,57.02748634231621,84.86247906206447,1.7019150855690814,1.8861599956204418,止损,1,2025-05-04 00:15:00,4986.293369253989,trend,neutral,2025-05-04 12:45:00,trending_down
AVAX/USDT,short,20.1,20.1,174.79468506375326,3511.9678205135274,-1.405349267912576,23.462440869414635,0.46727577625666117,0.0,止损,1,2025-05-04 13:00:00,5021.112170070504,trend,neutral,2025-05-05 02:15:00,trending_down
AVAX/USDT,short,20.18,19.668326863036523,174.4143151984403,3607.5161281411656,87.83524743664078,130.58628906356074,2.5960834490506737,2.0377063926784724,止损,1,2025-05-05 02:30:00,5030.126790081153,trend,neutral,2025-05-05 14:00:00,trending_down
AVAX/USDT,short,19.46,19.69033845671025,261.1570946484549,5019.929692893932,-62.187368965001305,-62.187368965001305,-1.2231615920448353,-1.0000000000000002,止损,1,2025-05-05 15:00:00,5084.149908683677,trend,bearish,2025-05-05 18:00:00,range_bound
AVAX/USDT,short,19.56,19.74640380172286,258.4429739891227,5004.947760518614,-50.19681070862581,-50.19681070862581,-0.9925876363302373,-0.999999999999992,止损,1,2025-05-06 08:15:00,5057.1666290557305,trend,bearish,2025-05-06 08:45:00,trending_down
AVAX/USDT,short,19.71,19.71,178.75438115216417,3521.839552968152,-1.4092995410036624,31.694683958688678,0.6294590230878747,0.0,止损,1,2025-05-06 09:00:00,5035.225931500228,trend,bearish,2025-05-06 14:15:00,range_bound
AVAX/USDT,short,19.67,19.96931947871907,256.5164633441636,4966.880188355073,-78.79864562462552,-78.79864562462552,-1.5610811024805467,-0.9999999999999983,止损,1,2025-05-06 14:30:00,5047.697105513291,trend,bearish,2025-05-06 22:15:00,range_bound
AVAX/USDT,long,20.75,21.203426171198135,169.0706028983746,3583.4727602715875,75.25775013031381,111.61034504779158,2.226089418876762,2.0415549720184782,止损,1,2025-05-08 14:15:00,5013.740423064757,trend,bearish,2025-05-08 15:45:00,trending_up
AVAX/USDT,long,21.3,22.107151531203197,166.21779678232957,3673.1858450211134,132.74677355749358,192.69060997309114,3.808270456335009,1.9988994853018873,止损,1,2025-05-08 16:00:00,5059.793210131722,trend,bearish,2025-05-09 03:45:00,range_bound
AVAX/USDT,long,22.09,23.190902325563876,162.81101480451346,3774.2957437305936,177.80042669889082,224.63166610185786,4.37034614807184,3.45330311605975,止损,1,2025-05-09 04:15:00,5139.905593083593,trend,neutral,2025-05-09 08:30:00,trending_up
